,number,value,datetime_start,datetime_complete,duration,params_activation_0,params_activation_1,params_activation_2,params_activation_3,params_activation_4,params_channels_0,params_channels_1,params_channels_2,params_channels_3,params_dilation_0,params_dilation_1,params_dilation_2,params_dilation_3,params_dilation_4,params_kernel_size_0,params_kernel_size_1,params_kernel_size_2,params_kernel_size_3,params_kernel_size_4,params_num_layers,params_poolsize_2,params_poolsize_3,params_poolsize_4,params_poolsize_5,state
0,0,0.050834164430365814,2024-05-08 03:14:59.658126,2024-05-08 03:25:02.121239,0 days 00:10:02.463113,nn.Softplus,nn.Softplus,nn.Tanh,nn.SELU,nn.SiLU,10,11.0,10.0,8.0,1,3,3.0,1.0,2.0,21,8,3.0,20.0,17.0,5,,,,"[2, 2, 5, 2, 2]",COMPLETE
1,1,0.05142225778446298,2024-05-08 03:49:39.537645,2024-05-08 03:59:16.237088,0 days 00:09:36.699443,nn.SiLU,nn.Softplus,nn.SELU,nn.Softplus,nn.SiLU,7,4.0,8.0,9.0,2,1,2.0,3.0,1.0,17,13,17.0,19.0,14.0,5,,,,"[2, 5, 2, 2, 2]",COMPLETE
2,2,0.2057722467618269,2024-05-08 03:59:16.257670,2024-05-08 04:03:37.597963,0 days 00:04:21.340293,nn.SELU,nn.Softplus,nn.SELU,,,3,9.0,,,1,2,3.0,,,2,9,7.0,,,3,,"[5, 8, 2]",,,COMPLETE
3,3,,2024-05-08 04:00:08.973810,2024-05-08 04:00:10.512237,0 days 00:00:01.538427,nn.SELU,nn.SELU,nn.SiLU,nn.Softplus,nn.SiLU,8,6.0,4.0,1.0,2,2,1.0,3.0,2.0,21,19,22.0,18.0,2.0,5,,,,"[5, 2, 2, 2, 2]",FAIL
4,4,,2024-05-08 04:00:20.174281,2024-05-08 04:00:20.830145,0 days 00:00:00.655864,nn.SELU,nn.Softplus,nn.Softplus,nn.Softplus,,1,3.0,1.0,,3,1,3.0,2.0,,11,6,2.0,7.0,,4,,,"[2, 5, 4, 2]",,FAIL
5,5,0.1971785392415833,2024-05-08 04:03:37.617879,2024-05-08 04:08:24.129265,0 days 00:04:46.511386,nn.SiLU,nn.Softplus,,,,1,,,,2,1,,,,23,13,,,,2,"[4, 20]",,,,COMPLETE
6,6,1.0947114068665542,2024-05-08 04:04:03.817914,2024-05-08 04:19:34.850895,0 days 00:15:31.032981,nn.SiLU,nn.SiLU,nn.SiLU,nn.SELU,,10,11.0,2.0,,2,3,1.0,3.0,,19,23,7.0,6.0,,4,,,"[2, 4, 2, 5]",,COMPLETE
7,7,0.19193150603460693,2024-05-08 04:08:24.148119,2024-05-08 04:14:29.501262,0 days 00:06:05.353143,nn.SiLU,nn.Tanh,nn.Tanh,,,5,9.0,,,3,1,1.0,,,8,10,21.0,,,3,,"[10, 2, 4]",,,COMPLETE
8,8,0.045586840149679356,2024-05-08 04:14:29.521303,2024-05-08 04:37:13.810549,0 days 00:22:44.289246,nn.Tanh,nn.Softplus,nn.Tanh,nn.SELU,,7,12.0,4.0,,2,2,2.0,2.0,,23,21,9.0,21.0,,4,,,"[4, 2, 2, 5]",,COMPLETE
9,9,2.727180590061471,2024-05-08 04:19:34.877517,2024-05-08 04:23:47.297971,0 days 00:04:12.420454,nn.SiLU,nn.SELU,nn.Softplus,nn.SiLU,nn.SELU,2,11.0,3.0,4.0,2,3,2.0,1.0,3.0,24,2,7.0,19.0,19.0,5,,,,"[5, 2, 2, 2, 2]",COMPLETE
10,10,4.103938841354102,2024-05-08 04:23:47.323850,2024-05-08 04:25:09.796522,0 days 00:01:22.472672,nn.SiLU,nn.SELU,,,,1,,,,2,2,,,,16,16,,,,2,"[5, 16]",,,,COMPLETE
11,11,5.511587544716894,2024-05-08 04:25:09.818548,2024-05-08 04:28:16.610094,0 days 00:03:06.791546,nn.Softplus,nn.Softplus,nn.Tanh,,,7,2.0,,,3,1,1.0,,,12,7,13.0,,,3,,"[4, 5, 4]",,,COMPLETE
12,12,2.472987653315067,2024-05-08 04:28:16.632307,2024-05-08 04:30:52.936141,0 days 00:02:36.303834,nn.SiLU,nn.Tanh,nn.Softplus,nn.Tanh,nn.SiLU,2,8.0,9.0,8.0,2,1,2.0,2.0,1.0,12,10,13.0,21.0,14.0,5,,,,"[2, 2, 2, 5, 2]",COMPLETE
13,13,2.114152418891899,2024-05-08 04:30:52.957859,2024-05-08 04:36:26.827658,0 days 00:05:33.869799,nn.Softplus,nn.SiLU,nn.Tanh,nn.SELU,,12,5.0,12.0,,1,3,3.0,1.0,,20,2,2.0,10.0,,4,,,"[2, 5, 4, 2]",,COMPLETE
14,14,1.1815512892324478,2024-05-08 04:36:26.850740,2024-05-08 04:46:43.820520,0 days 00:10:16.969780,nn.Tanh,nn.Softplus,nn.SELU,nn.Softplus,nn.SiLU,8,4.0,8.0,11.0,1,2,3.0,3.0,1.0,18,18,21.0,17.0,8.0,5,,,,"[2, 2, 5, 2, 2]",COMPLETE
15,15,0.039729284376379105,2024-05-08 04:37:13.832534,2024-05-08 04:56:27.333204,0 days 00:19:13.500670,nn.Tanh,nn.Softplus,nn.Tanh,nn.SELU,,9,11.0,5.0,,1,2,3.0,2.0,,22,24,2.0,24.0,,4,,,"[4, 2, 2, 5]",,COMPLETE
16,16,1.3361291968263687,2024-05-08 04:46:43.842876,2024-05-08 04:57:51.222712,0 days 00:11:07.379836,nn.Tanh,nn.Softplus,nn.Tanh,nn.SELU,,10,12.0,5.0,,1,3,2.0,2.0,,22,23,3.0,24.0,,4,,,"[4, 2, 2, 5]",,COMPLETE
17,17,0.11684482662499815,2024-05-08 04:56:27.353389,2024-05-08 05:22:21.803628,0 days 00:25:54.450239,nn.Tanh,nn.Softplus,nn.Tanh,nn.SELU,,5,12.0,5.0,,3,2,2.0,2.0,,23,24,9.0,24.0,,4,,,"[2, 2, 2, 10]",,COMPLETE
18,18,3.2868577872402964,2024-05-08 04:57:51.245139,2024-05-08 05:09:30.116757,0 days 00:11:38.871618,nn.Tanh,nn.Softplus,nn.SiLU,nn.SELU,,5,7.0,5.0,,3,2,2.0,2.0,,24,20,10.0,24.0,,4,,,"[4, 2, 2, 5]",,COMPLETE
19,19,1.1945970889413728,2024-05-08 05:09:30.138095,2024-05-08 05:23:10.834685,0 days 00:13:40.696590,nn.Tanh,nn.SiLU,nn.Tanh,nn.Tanh,,9,12.0,5.0,,1,2,3.0,2.0,,15,24,10.0,14.0,,4,,,"[2, 2, 4, 5]",,COMPLETE
20,20,0.02036499066546983,2024-05-08 05:22:21.824017,2024-05-08 05:34:29.419595,0 days 00:12:07.595578,nn.Tanh,nn.SiLU,nn.Tanh,,,9,10.0,,,1,2,3.0,,,8,20,5.0,,,3,,"[2, 20, 2]",,,COMPLETE
21,21,0.02302271549159681,2024-05-08 05:34:29.438375,2024-05-08 05:40:03.551602,0 days 00:05:34.113227,nn.SELU,nn.SiLU,nn.Softplus,,,12,9.0,,,1,2,3.0,,,8,16,5.0,,,3,,"[2, 20, 2]",,,COMPLETE
22,22,0.023282434728278005,2024-05-08 05:40:03.569265,2024-05-08 05:47:37.787699,0 days 00:07:34.218434,nn.SELU,nn.SiLU,nn.Softplus,,,12,9.0,,,1,2,3.0,,,7,16,24.0,,,3,,"[2, 20, 2]",,,COMPLETE
23,23,0.790513477101922,2024-05-08 06:01:07.904770,2024-05-08 06:03:36.663417,0 days 00:02:28.758647,nn.SELU,nn.SiLU,nn.Softplus,,,12,9.0,,,1,2,3.0,,,7,16,17.0,,,3,,"[2, 20, 2]",,,COMPLETE
24,24,2.809392042411491,2024-05-08 06:03:36.686740,2024-05-08 06:04:29.217960,0 days 00:00:52.531220,nn.SELU,nn.SiLU,,,,11,,,,1,2,,,,7,16,,,,2,"[8, 10]",,,,COMPLETE
25,25,1.2882292740046979,2024-05-08 06:04:29.242240,2024-05-08 06:07:15.790864,0 days 00:02:46.548624,nn.SELU,nn.SiLU,nn.Softplus,,,12,7.0,,,1,2,3.0,,,4,19,24.0,,,3,,"[2, 20, 2]",,,COMPLETE
26,26,0.41844791285693644,2024-05-08 06:07:15.811025,2024-05-08 06:10:13.679364,0 days 00:02:57.868339,nn.SELU,nn.SiLU,nn.Softplus,,,11,10.0,,,1,2,3.0,,,10,18,5.0,,,3,,"[2, 20, 2]",,,COMPLETE
27,27,5.585554836317897,2024-05-08 06:10:13.699411,2024-05-08 06:10:56.733495,0 days 00:00:43.034084,nn.SELU,nn.SiLU,,,,11,,,,1,3,,,,5,15,,,,2,"[16, 5]",,,,COMPLETE
28,28,0.6006972493894864,2024-05-08 06:10:56.766345,2024-05-08 06:12:08.436248,0 days 00:01:11.669903,nn.SELU,nn.SiLU,nn.Softplus,,,9,8.0,,,1,1,3.0,,,8,21,17.0,,,3,,"[2, 4, 10]",,,COMPLETE
29,29,1.9753039877396077,2024-05-08 06:12:08.455823,2024-05-08 06:13:06.830801,0 days 00:00:58.374978,nn.SELU,nn.SiLU,nn.Softplus,,,11,6.0,,,1,2,3.0,,,5,14,5.0,,,3,,"[4, 10, 2]",,,COMPLETE
30,30,4.5638813993893566,2024-05-08 06:13:06.850730,2024-05-08 06:14:02.046073,0 days 00:00:55.195343,nn.SELU,nn.Tanh,,,,12,,,,1,2,,,,10,18,,,,2,"[20, 4]",,,,COMPLETE
31,31,2.2095938601531087,2024-05-08 06:14:02.065366,2024-05-08 06:15:04.392250,0 days 00:01:02.326884,nn.Softplus,nn.SELU,nn.Softplus,,,8,10.0,,,1,3,3.0,,,10,11,14.0,,,3,,"[4, 4, 5]",,,COMPLETE
32,32,3.636597470752895,2024-05-08 06:15:04.413422,2024-05-08 06:15:52.062471,0 days 00:00:47.649049,nn.SELU,nn.SiLU,nn.SiLU,,,10,8.0,,,2,2,3.0,,,3,7,24.0,,,3,,"[5, 2, 8]",,,COMPLETE
33,33,1.0581253228592686,2024-05-08 06:15:52.082898,2024-05-08 06:19:41.206549,0 days 00:03:49.123651,nn.Tanh,nn.SiLU,nn.Tanh,,,9,10.0,,,1,2,3.0,,,6,22,5.0,,,3,,"[2, 10, 4]",,,COMPLETE
34,34,0.7271045948029495,2024-05-08 06:19:41.226262,2024-05-08 06:22:56.328230,0 days 00:03:15.101968,nn.Tanh,nn.SiLU,nn.Softplus,nn.SiLU,,8,10.0,1.0,,1,2,3.0,3.0,,13,20,2.0,3.0,,4,,,"[2, 5, 2, 4]",,COMPLETE
35,35,2.3598949124105273,2024-05-08 06:22:56.348517,2024-05-08 06:23:54.752658,0 days 00:00:58.404141,nn.Tanh,nn.SiLU,nn.Softplus,,,10,9.0,,,1,2,3.0,,,9,18,4.0,,,3,,"[8, 5, 2]",,,COMPLETE
36,36,3.186917906720191,2024-05-08 06:23:54.772695,2024-05-08 06:25:24.784782,0 days 00:01:30.012087,nn.Tanh,nn.Tanh,nn.Tanh,,,6,11.0,,,1,2,3.0,,,2,13,6.0,,,3,,"[2, 2, 20]",,,COMPLETE
37,37,5.425788734853268,2024-05-08 06:25:24.805261,2024-05-08 06:26:26.389825,0 days 00:01:01.584564,nn.SELU,nn.SELU,,,,11,,,,1,1,,,,14,22,,,,2,"[40, 2]",,,,COMPLETE
38,38,1.6038377039600165,2024-05-08 06:26:26.408765,2024-05-08 06:28:46.862840,0 days 00:02:20.454075,nn.Softplus,nn.SiLU,nn.Tanh,nn.SiLU,,9,10.0,7.0,,2,2,3.0,1.0,,11,12,3.0,11.0,,4,,,"[2, 4, 5, 2]",,COMPLETE
39,39,4.139184551499784,2024-05-08 06:28:46.883294,2024-05-08 06:29:37.006689,0 days 00:00:50.123395,nn.Tanh,nn.Softplus,nn.SELU,,,6,8.0,,,1,2,3.0,,,8,17,2.0,,,3,,"[10, 4, 2]",,,COMPLETE
40,40,3.897904543951154,2024-05-08 06:29:37.027275,2024-05-08 06:30:37.360321,0 days 00:01:00.333046,nn.SELU,nn.SiLU,nn.SiLU,nn.Softplus,,10,11.0,12.0,,2,1,3.0,3.0,,6,20,15.0,16.0,,4,,,"[10, 2, 2, 2]",,COMPLETE
41,41,1.1323078735615126,2024-05-08 06:30:37.381113,2024-05-08 06:35:30.839696,0 days 00:04:53.458583,nn.Tanh,nn.Tanh,nn.SELU,,,12,9.0,,,2,3,3.0,,,17,15,19.0,,,3,,"[2, 8, 5]",,,COMPLETE
42,42,3.3761340010911227,2024-05-08 06:35:30.860012,2024-05-08 06:36:22.127005,0 days 00:00:51.266993,nn.SELU,nn.Softplus,,,,7,,,,1,2,,,,9,22,,,,2,"[10, 8]",,,,COMPLETE
43,43,1.902346884016879,2024-05-08 06:36:22.146846,2024-05-08 06:39:06.793727,0 days 00:02:44.646881,nn.Tanh,nn.Softplus,nn.Tanh,nn.SELU,,4,12.0,3.0,,2,2,2.0,2.0,,21,21,9.0,22.0,,4,,,"[5, 2, 4, 2]",,COMPLETE
44,44,2.0893451100215317,2024-05-08 06:39:06.814187,2024-05-08 06:46:05.178212,0 days 00:06:58.364025,nn.Tanh,nn.Softplus,nn.Tanh,nn.SELU,nn.Tanh,8,11.0,3.0,2.0,2,2,2.0,2.0,3.0,20,23,11.0,16.0,3.0,5,,,,"[2, 2, 2, 2, 5]",COMPLETE
45,45,3.068301264103502,2024-05-08 06:46:05.198777,2024-05-08 06:51:06.865837,0 days 00:05:01.667060,nn.SiLU,nn.Softplus,nn.Tanh,nn.Tanh,,7,12.0,6.0,,3,2,2.0,1.0,,22,19,7.0,22.0,,4,,,"[4, 2, 2, 5]",,COMPLETE
46,46,1.480670270579867,2024-05-08 06:51:06.885655,2024-05-08 06:52:50.462244,0 days 00:01:43.576589,nn.Tanh,nn.SELU,nn.Tanh,nn.SELU,,6,10.0,4.0,,1,2,1.0,2.0,,19,21,8.0,12.0,,4,,,"[4, 5, 2, 2]",,COMPLETE
47,47,1.986376939434558,2024-05-08 06:52:50.483097,2024-05-08 06:58:47.824983,0 days 00:05:57.341886,nn.Tanh,nn.Softplus,nn.Tanh,,,9,11.0,,,2,2,2.0,,,24,24,4.0,,,3,,"[8, 2, 5]",,,COMPLETE
48,48,1.793822078546509,2024-05-08 06:58:47.850401,2024-05-08 07:01:34.499501,0 days 00:02:46.649100,nn.Softplus,nn.Softplus,nn.Softplus,nn.SELU,nn.Softplus,10,9.0,7.0,1.0,1,2,2.0,2.0,2.0,22,17,6.0,8.0,24.0,5,,,,"[2, 5, 2, 2, 2]",COMPLETE
49,49,2.444414121611044,2024-05-08 07:01:34.519446,2024-05-08 07:02:39.671611,0 days 00:01:05.152165,nn.SiLU,nn.SiLU,nn.Tanh,nn.Softplus,,8,2.0,1.0,,1,1,1.0,1.0,,12,4,12.0,14.0,,4,,,"[2, 10, 2, 2]",,COMPLETE
50,50,2.9795567129738627,2024-05-08 07:02:39.692075,2024-05-08 07:03:49.975881,0 days 00:01:10.283806,nn.Tanh,nn.Softplus,nn.SELU,nn.Tanh,,11,1.0,4.0,,3,2,3.0,3.0,,7,14,4.0,19.0,,4,,,"[5, 4, 2, 2]",,COMPLETE
51,51,3.7059635052457454,2024-05-08 07:03:49.995639,2024-05-08 07:04:51.555020,0 days 00:01:01.559381,nn.Tanh,nn.SELU,nn.Softplus,,,7,11.0,,,1,2,2.0,,,17,19,8.0,,,3,,"[20, 2, 2]",,,COMPLETE
52,52,4.550530633982271,2024-05-08 07:04:51.575330,2024-05-08 07:05:52.279309,0 days 00:01:00.703979,nn.Tanh,nn.SiLU,nn.Tanh,nn.SiLU,,4,9.0,6.0,,2,3,3.0,2.0,,4,23,6.0,17.0,,4,,,"[5, 2, 2, 4]",,COMPLETE
53,53,1.2270174730569123,2024-05-08 07:05:52.298885,2024-05-08 07:07:33.059176,0 days 00:01:40.760291,nn.Softplus,nn.Softplus,nn.Tanh,nn.SELU,nn.Tanh,11,11.0,11.0,6.0,1,3,3.0,1.0,2.0,23,8,3.0,21.0,20.0,5,,,,"[2, 2, 5, 2, 2]",COMPLETE
54,54,1.6031688977498562,2024-05-08 07:07:33.079985,2024-05-08 07:09:04.448142,0 days 00:01:31.368157,nn.Softplus,nn.Softplus,nn.Tanh,nn.SELU,nn.Softplus,12,12.0,9.0,12.0,1,3,3.0,1.0,2.0,21,5,2.0,20.0,10.0,5,,,,"[2, 2, 5, 2, 2]",COMPLETE
55,55,2.7695012404583395,2024-05-08 07:09:04.467733,2024-05-08 07:10:20.464794,0 days 00:01:15.997061,nn.Softplus,nn.Softplus,nn.Tanh,nn.SELU,nn.SELU,9,10.0,10.0,6.0,1,2,3.0,1.0,3.0,19,10,4.0,22.0,19.0,5,,,,"[5, 2, 2, 2, 2]",COMPLETE
56,56,2.4271015401463956,2024-05-08 07:10:20.490385,2024-05-08 07:11:56.298895,0 days 00:01:35.808510,nn.Softplus,nn.Softplus,nn.SiLU,,,10,12.0,,,1,2,3.0,,,23,17,7.0,,,3,,"[4, 2, 10]",,,COMPLETE
57,57,1.10600627430249,2024-05-08 07:11:56.319338,2024-05-08 07:14:54.012777,0 days 00:02:57.693439,nn.SiLU,nn.Tanh,nn.Tanh,nn.SELU,nn.SiLU,12,11.0,4.0,9.0,1,2,2.0,2.0,2.0,21,15,3.0,23.0,24.0,5,,,,"[2, 2, 2, 5, 2]",COMPLETE
58,58,0.8304179978440516,2024-05-08 07:14:54.033575,2024-05-08 07:17:37.699419,0 days 00:02:43.665844,nn.SELU,nn.SiLU,nn.Tanh,,,8,7.0,,,1,3,3.0,,,24,14,21.0,,,3,,"[2, 5, 8]",,,COMPLETE
59,59,2.0775787690188734,2024-05-08 07:17:37.719893,2024-05-08 07:23:32.544969,0 days 00:05:54.825076,nn.SELU,nn.Softplus,nn.Softplus,,,11,9.0,,,3,2,2.0,,,20,12,5.0,,,3,,"[2, 20, 2]",,,COMPLETE
60,60,0.7469692955201026,2024-05-08 07:23:32.565337,2024-05-08 07:27:28.667757,0 days 00:03:56.102420,nn.Softplus,nn.SiLU,nn.Tanh,nn.SELU,,10,5.0,10.0,,1,2,3.0,1.0,,15,24,8.0,18.0,,4,,,"[2, 2, 10, 2]",,COMPLETE
61,61,1.6143685352057218,2024-05-08 07:27:28.688258,2024-05-08 07:28:25.879323,0 days 00:00:57.191065,nn.Tanh,nn.Softplus,nn.Softplus,,,12,12.0,,,1,2,1.0,,,9,5,23.0,,,3,,"[5, 4, 4]",,,COMPLETE
62,62,0.8626860539894551,2024-05-08 07:28:25.898375,2024-05-08 07:32:15.328387,0 days 00:03:49.430012,nn.SELU,nn.SiLU,nn.SELU,nn.Softplus,,9,8.0,8.0,,2,1,3.0,3.0,,18,20,19.0,20.0,,4,,,"[2, 2, 5, 4]",,COMPLETE
63,63,1.3552001019939781,2024-05-08 07:32:15.349114,2024-05-08 07:36:30.722080,0 days 00:04:15.372966,nn.SiLU,nn.Softplus,nn.SELU,nn.Softplus,nn.SiLU,7,5.0,9.0,9.0,2,1,2.0,3.0,1.0,22,9,15.0,20.0,14.0,5,,,,"[2, 5, 2, 2, 2]",COMPLETE
64,64,3.9143951470963656,2024-05-08 07:36:30.742736,2024-05-08 07:37:21.024516,0 days 00:00:50.281780,nn.SiLU,nn.Softplus,nn.SELU,nn.Softplus,nn.SiLU,1,2.0,8.0,10.0,2,1,2.0,3.0,1.0,6,16,22.0,22.0,15.0,5,,,,"[2, 5, 2, 2, 2]",COMPLETE
65,65,1.6714874701574445,2024-05-08 07:37:21.044518,2024-05-08 07:41:25.605373,0 days 00:04:04.560855,nn.SiLU,nn.Softplus,nn.SELU,nn.Softplus,nn.SiLU,8,6.0,2.0,7.0,2,2,2.0,2.0,1.0,19,12,19.0,18.0,10.0,5,,,,"[2, 2, 2, 2, 5]",COMPLETE
66,66,1.1626076260930858,2024-05-08 07:41:25.625710,2024-05-08 07:43:09.232352,0 days 00:01:43.606642,nn.SiLU,nn.SiLU,nn.Softplus,nn.SELU,nn.SiLU,7,4.0,11.0,4.0,1,1,3.0,2.0,2.0,16,13,17.0,19.0,16.0,5,,,,"[2, 2, 5, 2, 2]",COMPLETE
67,67,1.6048774589085952,2024-05-08 07:43:09.259073,2024-05-08 07:45:44.165263,0 days 00:02:34.906190,nn.SELU,nn.Softplus,nn.SiLU,nn.SELU,nn.SiLU,6,10.0,7.0,8.0,1,3,3.0,3.0,1.0,8,19,11.0,15.0,6.0,5,,,,"[2, 5, 2, 2, 2]",COMPLETE
68,68,0.9630325767910108,2024-05-08 07:45:44.185378,2024-05-08 07:48:43.005228,0 days 00:02:58.819850,nn.Tanh,nn.Tanh,nn.Tanh,,,11,3.0,,,1,2,2.0,,,11,22,2.0,,,3,,"[2, 20, 2]",,,COMPLETE
69,69,1.5818862573709338,2024-05-08 07:48:43.024827,2024-05-08 07:51:43.263983,0 days 00:03:00.239156,nn.SELU,nn.SiLU,,,,5,,,,2,2,,,,21,11,,,,2,"[2, 40]",,,,COMPLETE
70,70,1.310275583108887,2024-05-08 07:51:43.283829,2024-05-08 07:52:50.137348,0 days 00:01:06.853519,nn.Tanh,nn.SELU,nn.Softplus,,,10,11.0,,,1,3,3.0,,,5,7,6.0,,,3,,"[2, 20, 2]",,,COMPLETE
71,71,2.1337021708488466,2024-05-08 07:52:50.157993,2024-05-08 07:54:13.995080,0 days 00:01:23.837087,nn.SiLU,nn.Softplus,nn.Tanh,nn.SiLU,,8,10.0,10.0,,2,2,3.0,1.0,,7,17,3.0,21.0,,4,,,"[4, 2, 5, 2]",,COMPLETE
72,72,2.502163600712083,2024-05-08 07:54:14.015651,2024-05-08 07:55:31.517278,0 days 00:01:17.501627,nn.Softplus,nn.SiLU,nn.SELU,,,9,8.0,,,1,1,2.0,,,23,18,5.0,,,3,,"[2, 20, 2]",,,COMPLETE
73,73,2.551552121527493,2024-05-08 07:55:31.537483,2024-05-08 08:02:43.069176,0 days 00:07:11.531693,nn.Tanh,nn.Softplus,nn.Tanh,nn.SELU,,5,12.0,5.0,,3,2,2.0,2.0,,23,24,10.0,24.0,,4,,,"[2, 2, 2, 10]",,COMPLETE
74,74,1.977500737644732,2024-05-08 08:02:43.088454,2024-05-08 08:08:44.794938,0 days 00:06:01.706484,nn.Tanh,nn.Softplus,nn.Tanh,nn.SELU,,4,12.0,6.0,,3,2,2.0,2.0,,22,23,14.0,23.0,,4,,,"[2, 2, 2, 10]",,COMPLETE
75,75,5.292217225767672,2024-05-08 08:08:44.815401,2024-05-08 08:12:08.582377,0 days 00:03:23.766976,nn.Tanh,nn.Softplus,nn.Tanh,nn.SELU,,3,11.0,4.0,,3,2,2.0,2.0,,24,21,12.0,24.0,,4,,,"[4, 2, 2, 5]",,COMPLETE
76,76,1.7994761941954494,2024-05-08 08:12:08.602009,2024-05-08 08:17:26.584445,0 days 00:05:17.982436,nn.Tanh,nn.Softplus,nn.Softplus,nn.SELU,,6,11.0,5.0,,2,2,2.0,2.0,,20,21,9.0,23.0,,4,,,"[2, 2, 2, 10]",,COMPLETE
77,77,1.3388025767169893,2024-05-08 08:17:26.605267,2024-05-08 08:21:19.102049,0 days 00:03:52.496782,nn.Tanh,nn.SiLU,nn.Tanh,,,5,12.0,,,1,2,3.0,,,13,23,18.0,,,3,,"[2, 8, 5]",,,COMPLETE
78,78,1.7605178002733737,2024-05-08 08:21:19.121812,2024-05-08 08:25:25.181658,0 days 00:04:06.059846,nn.SELU,nn.Softplus,nn.Tanh,,,12,10.0,,,2,2,2.0,,,18,15,4.0,,,3,,"[5, 8, 2]",,,COMPLETE
79,79,1.3980657873675226,2024-05-08 08:25:25.201939,2024-05-08 08:27:19.640342,0 days 00:01:54.438403,nn.Tanh,nn.Softplus,nn.Softplus,nn.Tanh,,7,9.0,6.0,,1,2,3.0,2.0,,23,24,16.0,21.0,,4,,,"[4, 2, 2, 5]",,COMPLETE
80,80,1.0782056386815384,2024-05-08 08:27:19.661430,2024-05-08 08:31:30.464273,0 days 00:04:10.802843,nn.SELU,nn.SiLU,nn.SiLU,nn.Softplus,nn.Softplus,9,12.0,2.0,12.0,3,2,3.0,2.0,3.0,11,20,3.0,23.0,17.0,5,,,,"[2, 2, 5, 2, 2]",COMPLETE
81,81,1.4442678165389224,2024-05-08 08:31:30.485089,2024-05-08 08:34:40.908904,0 days 00:03:10.423815,nn.Tanh,nn.Tanh,nn.Tanh,,,5,10.0,,,1,2,2.0,,,7,22,20.0,,,3,,"[2, 10, 4]",,,COMPLETE
